iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,11.9625,1.58344,10.6214,9.36475,10.6214,9.36475
2,12.0205,1.53298,17.5298,16.2939,28.1513,25.6586
3,12.0104,1.64272,19.5667,18.311,47.718,43.9696
4,11.9119,1.63249,19.6794,18.4188,67.3974,62.3884
5,12.0043,1.68454,19.3351,18.1285,86.7325,80.5169
6,4.51733,1.00415,19.6378,18.431,106.37,98.9479
7,4.43671,1.00549,19.1695,17.989,125.54,116.937
8,4.48376,1.02379,18.5507,17.348,144.091,134.285
9,4.66977,1.01836,18.3806,17.1095,162.471,151.394
10,3.70715,1.01737,18.1096,16.8407,180.581,168.235
11,3.72767,1.02469,18.8544,17.6498,199.435,185.885
12,3.3942,1.00215,22.0575,20.8682,221.493,206.753
13,3.42171,1.00026,22.7421,21.6016,244.235,228.355
14,3.40239,1.00039,24.583,23.44,268.818,251.795
15,3.37387,1.00015,23.4299,22.2855,292.248,274.08
16,3.50059,1.00046,23.0115,21.8859,315.259,295.966
17,3.46487,1.00267,22.9515,21.769,338.211,317.735
18,3.47511,1.00492,23.0323,21.8661,361.243,339.601
19,3.29696,1.00175,22.3846,21.3668,383.628,360.968
20,3.2499,1.00928,22.4332,21.4408,406.061,382.409
21,3.03248,1.02098,20.6974,19.743,426.758,402.152
22,3.12356,1.00336,21.8062,20.8884,448.564,423.04
23,3.12045,1.00114,20.2861,19.3532,468.85,442.393
24,3.09037,1.00511,18.6644,17.6959,487.515,460.089
25,3.31122,1.00034,21.4392,20.4379,508.954,480.527
26,3.22926,1.00285,21.0013,19.9909,529.955,500.518
27,3.36084,1.00002,22.6108,21.6045,552.566,522.122
28,3.27581,1.00315,23.7934,22.7681,576.36,544.891
29,3.23883,1.00541,24.2172,23.1658,600.577,568.056
30,3.0767,1.00063,25.7565,24.6705,626.333,592.727
31,2.96549,1.00998,26.0728,25.0384,652.406,617.765
32,0.530824,1.27203,24.8695,23.8845,677.276,641.65
33,0.420858,1.30992,24.57,23.5851,701.846,665.235
34,0.450535,1.17343,24.7865,23.8333,726.632,689.068
35,0.434166,1.2864,21.6741,20.7281,748.306,709.796
36,0.381061,1.34346,21.899,20.9604,770.205,730.757
37,0.508597,1.24793,20.1943,19.2674,790.4,750.024
38,0.584326,1.23092,23.336,22.442,813.736,772.466
39,0.701973,1.20969,24.2262,23.2778,837.962,795.744
40,0.783594,1.13447,22.4058,21.4783,860.368,817.222
41,0.919306,1.06691,22.1668,21.2834,882.535,838.506
42,1.11393,1.0261,22.7842,21.9052,905.319,860.411
43,1.20355,1.35361,22.6993,21.8312,928.018,882.242
44,1.04169,1.31084,25.5783,24.789,953.596,907.031
45,0.844372,1.45589,25.4195,24.5721,979.016,931.603
46,0.852136,1.46185,27.5235,26.6035,1006.54,958.207
47,1.02718,1.45885,27.6515,26.7267,1034.19,984.933
48,1.02899,1.49483,27.4237,26.4574,1061.61,1011.39
49,1.0152,1.53168,27.2103,26.2418,1088.82,1037.63
50,1.10328,1.56479,28.8005,27.6716,1117.63,1065.3
51,1.11789,1.49431,28.1259,26.9843,1145.75,1092.29
52,1.17917,1.40202,24.6123,23.4186,1170.36,1115.71
53,0.197174,1.73253,24.0664,22.9239,1194.43,1138.63
54,0.364629,1.67796,25.4086,24.341,1219.84,1162.97
55,0.534865,1.63945,22.5253,21.4877,1242.36,1184.46
56,0.450672,1.55241,19.5368,18.4934,1261.9,1202.95
57,0.539911,1.66769,19.285,18.2734,1281.19,1221.23
58,0.518773,1.62187,19.2326,18.2439,1300.42,1239.47
59,0.596254,1.51921,17.1803,16.1896,1317.6,1255.66
60,0.543037,1.48351,18.183,17.2108,1335.78,1272.87
61,0.72503,1.50339,19.9127,18.9343,1355.69,1291.81
62,0.574484,1.58994,22.99,22.0431,1378.68,1313.85
63,0.586841,1.53683,23.6252,22.6099,1402.31,1336.46
64,0.714144,1.65901,17.9651,16.9685,1420.27,1353.43
65,0.830881,1.51612,17.2017,16.1732,1437.48,1369.6
66,0.747895,1.37743,15.9696,15.0034,1453.45,1384.6
67,0.921021,1.39619,16.673,15.709,1470.12,1400.31
68,0.844038,1.26066,14.9843,14.044,1485.1,1414.36
