iter,dist1,dist2,dist3,dist4,dist5,avg
1,7,3,12,2.35887,5.7726,6.036542
2,6.84996,4.65982,12.0205,2.38094,5.63976,6.310196
3,5.61086,4.38619,12.0104,2.29199,5.68602,5.997092
4,5.4588,4.49371,11.9119,1.4448,5.47972,5.757786
5,5.66596,4.46239,12.0043,1.32867,5.30232,5.752728
6,5.39058,4.65012,4.51733,1.43107,5.19947,4.237714
7,5.49536,4.70347,4.43671,1.35767,5.1606,4.230762
8,5.58053,4.72101,4.48376,1.36832,5.07413,4.24555
9,5.57948,4.58745,4.66977,1.40814,5.04113,4.257194
10,5.4513,4.5547,3.70715,1.31746,4.94457,3.995036
11,5.40972,4.44485,3.72767,1.54756,4.9511,4.01618
12,5.47782,3.44356,3.3942,1.53862,4.90784,3.752408
13,5.39527,6.31789,3.42171,1.58231,5.06421,4.356278
14,5.41894,4.98671,3.40239,1.53725,5.12026,4.09311
15,5.37022,4.95947,3.37387,2.12779,4.93735,4.15374
16,5.28216,5.39662,3.50059,2.07339,4.9566,4.241872
17,5.20124,5.66176,3.46487,2.15387,4.95058,4.286464
18,5.4895,5.72398,3.47511,2.0383,4.90509,4.326396
19,5.30907,2.93259,3.29696,1.90963,4.85864,3.661378
20,5.21974,2.89656,3.2499,1.94207,4.26524,3.514702
21,5.31483,1.88733,3.03248,1.71571,4.68395,3.32686
22,5.45242,1.72841,3.12356,1.9286,3.53625,3.153848
23,3.75022,1.89271,3.12045,1.91732,3.47287,2.830714
24,3.89784,1.92799,3.09037,1.97883,3.77927,2.93486
25,3.91661,2.02625,3.31122,1.96078,3.72467,2.987906
26,3.76305,2.04113,3.22926,2.08396,3.31042,2.885564
27,3.95249,2.06694,3.36084,1.86514,3.49927,2.948936
28,3.97662,2.04006,3.27581,1.8843,3.35276,2.90591
29,3.83386,2.0365,3.23883,1.93031,3.46058,2.900016
30,3.73325,1.11636,3.0767,1.97665,3.42483,2.665558
31,3.64091,1.01639,2.96549,2.27016,3.15354,2.609298
32,3.48881,0.848749,0.530824,2.11414,3.28605,2.0537146
33,3.35269,2.16623,0.420858,2.31819,3.40954,2.3335016
34,2.817,2.16436,0.450535,2.27905,3.37299,2.216787
35,2.8385,0.811527,0.434166,2.32656,3.40776,1.9637026
36,2.85877,1.63437,0.381061,1.48921,1.76849,1.6263802
37,2.88995,1.88177,0.508597,1.34266,1.72685,1.6699654
38,2.88432,1.81711,0.584326,1.62719,1.64122,1.7108332
39,2.90623,1.81981,0.701973,1.68446,1.65993,1.7544806
40,2.96162,1.91769,0.783594,1.73142,1.61674,1.8022128
41,2.83294,2.67002,0.919306,1.58469,1.55299,1.9119892
42,2.96605,1.96841,1.11393,1.84009,1.69371,1.916438
43,3.09471,2.13357,1.20355,1.8246,1.78088,2.007462
44,3.20444,2.07323,1.04169,1.95094,1.73245,2.00055
45,3.20199,1.9796,0.844372,1.78926,1.69821,1.9026864
46,3.16183,1.91291,0.852136,1.9279,1.6803,1.9070152
47,3.18026,2.00754,1.02718,1.93899,1.68161,1.967116
48,3.14359,1.94007,1.02899,1.96546,2.52576,2.120774
49,3.11815,1.86651,1.0152,1.89017,2.69442,2.11689
50,3.0564,2.34814,1.10328,2.48451,12.3283,4.264126
51,2.95946,2.46468,1.11789,1.88594,12.3042,4.146434
52,2.98836,2.40942,1.17917,1.73101,12.237,4.108992
53,3.8981,2.12427,0.197174,1.70412,12.1341,4.0115528
54,3.87236,2.08112,0.364629,1.71457,12.1398,4.0344958
55,6.91434,2.22386,0.534865,1.6725,12.0591,4.680933
56,6.8724,2.18638,0.450672,1.50125,11.954,4.5929404
57,7.07186,2.32294,0.539911,1.68702,2.43577,2.8115002
58,7.13428,2.33826,0.518773,2.20876,2.56825,2.9536646
59,7.14496,2.3157,0.596254,2.20027,2.72398,2.9962328
60,7.28164,2.24077,0.543037,2.1787,2.70894,2.9906174
61,7.37215,2.21714,0.72503,2.00114,2.726,3.008292
62,2.90755,2.28474,0.574484,2.07107,3.35981,2.2395308
63,2.87437,2.43039,0.586841,2.00487,3.24415,2.2281242
64,7.28957,2.41122,0.714144,1.96266,3.32924,3.1413668
65,7.27143,2.42948,0.830881,2.09453,3.2855,3.1823642
66,7.16272,2.41396,0.747895,2.03548,3.27222,3.126455
67,7.18322,9.02692,0.921021,14.1064,6.97403,7.6423182
68,7.13103,9.08367,0.844038,14.1917,6.89047,7.6281816
69,7.20612,9.12402,6.53347,14.0963,6.9113,8.774242
70,7.34971,9.15916,6.48252,14.1754,6.85651,8.80466
71,7.43447,9.10301,6.52281,14.107,6.93584,8.820626
72,7.36856,9.24528,6.46865,14.1918,6.85664,8.826186
73,7.44638,9.06883,6.52935,14.3102,6.71478,8.813908
74,7.41286,8.98504,6.60055,14.3292,6.53284,8.772098
75,7.40809,8.98149,6.57,14.2581,6.42576,8.728688
76,7.46907,8.88377,6.52531,14.1396,6.48476,8.700502
77,7.53176,8.89845,6.62437,14.1704,6.2438,8.693756
78,7.49732,8.84857,6.62481,14.2197,6.06738,8.651556
79,7.4432,8.872,6.67589,14.3599,5.96837,8.663872
80,7.45401,8.94041,6.7309,14.3582,5.90007,8.676718
81,7.28673,8.92342,6.82986,14.5584,5.98861,8.717404
82,7.11001,9.01326,6.5587,14.5887,6.00174,8.654482
83,7.15435,9.01151,6.36272,14.5663,5.99274,8.617524
84,7.01467,9.00581,6.29377,14.7563,5.96116,8.606342
85,7.05103,8.96299,6.29655,14.7748,5.90121,8.597316
86,7.09804,8.92733,6.34408,14.8978,5.85129,8.623708
87,6.99615,8.98078,6.425,14.9485,5.84154,8.638394
88,6.86594,8.97427,6.46792,15.0356,5.69063,8.606872
89,6.89962,8.97896,6.50473,15.0871,5.75552,8.645186
90,6.78889,8.79598,6.52049,15.0361,5.7388,8.576052
91,6.74334,8.65273,6.56006,15.1713,5.61514,8.548514
92,6.7673,8.64224,6.62788,15.1002,5.6305,8.553624
93,6.71154,8.70721,6.58015,15.1606,5.52521,8.536942
94,6.61915,8.7517,6.73981,15.1003,5.57226,8.556644
95,6.74695,8.65336,6.83242,15.1416,5.72415,8.619696
96,6.66892,8.65618,0.589437,15.092,5.81363,7.3640334
97,6.64514,8.46018,0.580873,15.0521,5.66709,7.2810766
98,6.59253,8.44045,0.694878,15.1187,5.65171,7.2996536
99,6.5189,8.30316,6.63398,15.1211,5.66838,8.449104
100,6.61162,8.32595,6.59711,15.0683,5.65597,8.45179
