iter,dist1,dist2,avg
1,6.12103,8.65744,7.389235
2,6.07122,8.00448,7.03785
3,6.01255,8.04488,7.028715
4,5.75482,7.82752,6.79117
5,5.7432,8.04961,6.896405
6,5.70501,7.96605,6.83553
7,5.76106,3.76,4.76053
8,5.88744,5.95097,5.919205
9,5.85341,6.04459,5.949
10,5.76567,5.99743,5.88155
11,2.64777,6.10316,4.375465
12,2.72664,6.12382,4.42523
13,2.65651,6.06593,4.36122
14,1.84269,5.93108,3.886885
15,1.83183,1.82885,1.83034
16,1.8683,1.83205,1.850175
17,1.77111,1.68153,1.72632
18,1.755,1.59056,1.67278
19,1.83567,1.56992,1.702795
20,1.79263,1.43953,1.61608
21,1.81934,2.45833,2.138835
22,1.93614,1.73344,1.83479
23,1.92819,1.77371,1.85095
24,2.00288,1.68258,1.84273
25,2.07211,1.69485,1.88348
26,1.49455,1.71385,1.6042
27,1.43986,2.85328,2.14657
28,1.47211,2.90427,2.18819
29,1.42794,2.72234,2.07514
30,1.42243,2.68042,2.051425
31,1.4071,2.31007,1.858585
32,1.50808,2.18719,1.847635
33,1.4167,2.39859,1.907645
34,1.27587,2.30055,1.78821
35,1.32231,2.32804,1.825175
36,0.594887,2.33804,1.4664635
37,0.756489,2.38554,1.5710145
38,0.685921,2.55713,1.6215255
39,0.693386,2.68239,1.687888
40,0.623826,2.71662,1.670223
41,0.652509,2.67248,1.6624945
42,0.624413,0.983309,0.803861
43,0.438042,0.922419,0.6802305
44,0.505956,1.00424,0.755098
45,0.601012,1.0825,0.841756
46,0.348393,1.14774,0.7480665
47,0.445759,1.20103,0.8233945
48,0.420872,1.07401,0.747441
49,0.383473,0.895132,0.6393025
50,0.862449,0.917176,0.8898125
51,0.752604,0.79027,0.771437
52,0.632553,0.734836,0.6836945
53,0.657404,0.770206,0.713805
54,0.676518,0.814726,0.745622
55,0.609314,1.00572,0.807517
56,0.605857,0.943761,0.774809
57,0.725787,0.833845,0.779816
58,0.570066,2.85764,1.713853
59,0.655483,2.93523,1.7953565
60,0.857302,1.22888,1.043091
61,0.803522,1.06947,0.936496
62,0.730063,0.995326,0.8626945
63,0.834822,1.18612,1.010471
64,0.829674,1.17059,1.000132
65,0.844661,1.33885,1.0917555
66,0.60435,1.22708,0.915715
67,0.717894,1.25949,0.988692
68,0.952049,0.552328,0.7521885
69,0.962113,0.526316,0.7442145
70,0.93855,8.91927,4.92891
71,0.998848,9.5071,5.252974
72,1.06036,9.50428,5.28232
73,8.65419,9.56494,9.109565
74,8.73783,9.64907,9.19345
75,8.72266,9.63224,9.17745
76,8.75687,9.65885,9.20786
77,8.87469,9.72952,9.302105
78,8.94695,9.60135,9.27415
79,8.99595,9.66603,9.33099
80,8.98103,9.56253,9.27178
81,8.92478,9.54686,9.23582
82,8.89299,9.62514,9.259065
83,8.75874,9.41299,9.085865
84,8.81346,9.52095,9.167205
85,8.70126,9.50715,9.104205
86,8.73247,9.29993,9.0162
87,8.73948,9.3963,9.06789
88,8.78444,9.49494,9.13969
89,8.5965,9.52295,9.059725
90,8.77731,9.55994,9.168625
91,8.69546,9.58226,9.13886
92,8.64334,9.55454,9.09894
93,0.761443,9.63978,5.2006115
94,0.209009,9.5481,4.8785545
95,0.385403,9.57453,4.9799665
96,0.216451,9.64113,4.9287905
97,0.176941,9.54954,4.8632405
98,0.144212,9.57637,4.860291
99,0.118341,9.51014,4.8142405
100,0.324975,9.45485,4.8899125
