iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,8.93406,1.85075,2.77264,2.52873,2.77264,2.52873
2,8.97512,1.84491,4.40819,4.14295,7.18083,6.67168
3,2.13842,1.13343,4.74005,4.47827,11.9209,11.15
4,2.07267,1.0906,4.92501,4.66814,16.8459,15.8181
5,2.09956,1.0667,4.56135,4.2914,21.4072,20.1095
6,2.12429,1.02624,4.67887,4.41206,26.0861,24.5215
7,2.07061,1.0259,4.83572,4.56437,30.9218,29.0859
8,2.02806,1.11247,5.11669,4.85917,36.0385,33.9451
9,0.892999,1.72677,5.97235,5.70127,42.0109,39.6464
10,0.783928,1.82234,6.00169,5.69911,48.0126,45.3455
11,0.789375,1.82204,6.3881,6.11672,54.4007,51.4622
12,0.831207,1.77279,6.22317,5.96533,60.6238,57.4275
13,0.691279,1.7446,5.87803,5.61002,66.5019,63.0375
14,0.682399,1.63862,5.93614,5.68828,72.438,68.7258
15,0.605428,1.47199,6.20848,5.9646,78.6465,74.6904
16,0.780476,1.35862,5.33756,5.07833,83.984,79.7687
17,0.582257,1.80793,6.1518,5.9034,90.1358,85.6721
18,0.523088,1.78661,6.59021,6.32568,96.726,91.9978
19,0.63206,1.76126,6.33918,6.09419,103.065,98.092
20,0.685411,1.82229,5.77073,5.54354,108.836,103.636
21,0.478594,1.77964,5.57454,5.36304,114.41,108.999
22,0.560004,1.69531,5.85424,5.64518,120.265,114.644
23,0.522344,1.65825,4.82212,4.59649,125.087,119.24
24,0.471038,1.45204,5.65574,5.42348,130.743,124.664
25,0.523645,1.52363,5.31733,5.09167,136.06,129.755
26,0.379377,1.57728,5.79101,5.55115,141.851,135.307
27,0.436333,1.67463,5.7031,5.46683,147.554,140.773
28,0.447341,1.75777,5.74135,5.51696,153.295,146.29
29,0.532513,1.76648,5.56094,5.32711,158.856,151.617
30,0.465284,1.65198,5.2898,5.06206,164.146,156.68
31,0.526695,1.47127,5.31277,5.07462,169.459,161.754
32,0.548217,1.61882,5.1952,4.95694,174.654,166.711
33,0.526608,1.54201,5.91331,5.69954,180.567,172.411
34,0.50347,1.83719,5.53798,5.32583,186.105,177.736
35,0.546403,1.82756,5.66778,5.45702,191.773,183.193
36,0.416376,1.82697,5.59772,5.39187,197.371,188.585
