iter,dist1,dist2,dist3,dist4,dist5,avg
1,2.54439,8.93406,2.08988,5.66897,6.02935,5.05333
2,2.59222,8.97512,2.16888,5.52204,5.98603,5.048858
3,5.80168,2.13842,2.05598,5.57998,5.96995,4.309202
4,4.2552,2.07267,1.76035,5.74498,5.84895,3.93643
5,2.00568,2.09956,1.67082,5.9411,5.70491,3.484414
6,2.07927,2.12429,1.61639,4.70334,5.85056,3.27477
7,2.15578,2.07061,1.6314,4.79059,6.03294,3.336264
8,2.16465,2.02806,1.66685,4.80896,6.01153,3.33601
9,2.18041,0.892999,1.67602,4.7231,5.95976,3.0864578
10,2.22902,0.783928,1.79582,6.56073,3.60249,2.9943976
11,2.19682,0.789375,1.77357,4.96373,0.854811,2.1156612
12,2.21005,0.831207,1.62609,7.05377,0.986369,2.5414972
13,2.12852,0.691279,1.62732,5.62384,1.03209,2.2206098
14,2.13181,0.682399,1.78746,5.67591,1.07069,2.2696538
15,2.02192,0.605428,1.76327,5.82093,1.23284,2.2888776
16,1.90904,0.780476,1.80681,5.6873,1.20778,2.2782812
17,2.0382,0.582257,1.69011,3.75609,1.43988,1.9013074
18,2.03606,0.523088,1.80162,3.88246,1.53377,1.9553996
19,1.98297,0.63206,1.84691,3.88247,1.57003,1.982888
20,1.78642,0.685411,1.68447,3.79632,0.483738,1.6872718
21,1.70362,0.478594,1.56496,3.83273,0.403388,1.5966584
22,2.26074,0.560004,1.46677,3.737,0.558306,1.716564
23,2.13466,0.522344,1.49882,3.7711,0.57248,1.6998808
24,1.71827,0.471038,1.5337,3.68857,0.637107,1.609737
25,1.69993,0.523645,1.47194,3.41829,0.626809,1.5481228
26,1.68928,0.379377,1.52358,3.43455,0.648381,1.5350336
27,1.70319,0.436333,1.53693,6.20326,0.575627,2.091068
28,1.67249,0.447341,1.43352,6.27758,0.804534,2.127093
29,1.57978,0.532513,2.04152,3.1277,0.754693,1.6072412
30,1.93366,0.465284,2.16624,3.26766,0.875266,1.741622
31,1.9364,0.526695,2.07585,3.78607,0.653214,1.7956458
32,1.90217,0.548217,2.23883,3.59849,0.715945,1.8007304
33,1.76179,0.526608,2.25685,3.63108,0.736524,1.7825704
34,1.72831,0.50347,1.09466,3.53364,0.755815,1.523179
35,0.413044,0.546403,1.07775,3.64506,0.864583,1.309368
36,0.449157,0.416376,1.08062,3.55842,1.10588,1.3220906
37,0.379108,0.344201,1.25913,3.49797,1.20642,1.3373658
38,0.517965,0.329644,1.96185,3.51109,1.23271,1.5106518
39,0.844829,0.494225,1.98016,3.38068,0.954207,1.5308202
40,0.313683,0.426569,1.31577,4.56525,1.02668,1.5295904
41,0.233888,0.394579,1.43178,4.59645,0.936874,1.5187142
42,0.20113,0.485088,1.54099,4.50974,0.82675,1.5127396
43,0.427158,0.703476,0.967967,4.54042,0.798258,1.4874558
44,0.493926,0.766699,1.11257,4.63751,0.611898,1.5245206
45,0.483182,0.741045,1.08674,4.62315,0.591718,1.505167
46,0.557045,7.21013,0.893506,4.6105,0.834181,2.8210724
47,0.638019,7.10029,0.914729,4.79513,0.679657,2.825565
48,1.37519,7.16119,0.666003,4.68546,0.644237,2.906416
49,1.90267,7.04027,0.740934,2.05601,1.03055,2.5540868
50,1.87688,7.06485,0.638171,1.92995,11.6928,4.6405302
51,1.77383,7.17803,1.26147,1.85918,11.6473,4.743962
52,1.93099,0.855775,1.278,1.83021,11.6043,3.499855
53,2.00559,0.761088,1.174,1.77898,0.842498,1.3124312
54,1.34938,0.453369,1.62246,1.7121,0.781533,1.1837684
55,1.34281,0.519384,1.50298,1.59997,0.766868,1.1464024
56,1.39124,0.49116,1.59984,1.7468,11.5536,3.356528
57,0.570697,0.53534,1.46371,1.92731,0.473644,0.9941402
58,0.489324,0.43367,1.43201,2.09937,0.512493,0.9933734
59,1.19014,0.531012,1.63667,1.95565,0.65588,1.1938704
60,1.04505,0.598888,1.79931,2.11209,0.652686,1.2416048
61,1.02924,0.64873,1.86481,2.17924,11.0977,3.363944
62,1.08493,9.84606,1.3436,2.30325,0.3896,2.993488
63,1.1329,9.92178,1.29902,2.22323,11.028,5.120986
64,1.14705,10.0039,1.24888,2.29528,10.8906,5.117142
65,1.16853,9.99152,1.27074,2.33003,10.8381,5.119784
66,1.29663,10.1532,4.95308,2.36821,10.8288,5.919984
67,1.34105,10.1208,4.92702,2.36587,10.8523,5.921408
68,8.5399,10.1387,0.863222,2.40825,10.945,6.5790144
69,8.45233,10.1351,0.73911,2.5274,11.0458,6.579948
70,8.37212,10.0826,1.17285,2.5476,11.0684,6.648714
71,8.42854,10.061,1.11257,2.36548,11.1517,6.623858
72,9.44483,10.0074,1.18024,4.71392,11.2311,7.315498
73,9.52851,10.034,1.17574,4.46048,11.2177,7.283286
74,9.39972,9.87308,1.16912,4.80906,11.1363,7.277456
75,9.22193,9.85412,1.05216,5.21929,11.0069,7.27088
76,9.21943,10.0034,1.00247,4.0461,10.9443,7.04314
77,9.16715,9.98672,1.1299,4.10469,10.9133,7.060352
78,9.24852,9.98777,0.995551,4.65876,10.7602,7.1301602
79,9.25032,9.84856,1.03353,4.84346,10.8322,7.161614
80,9.1253,9.89369,0.963893,5.18826,10.952,7.2246286
81,9.15256,10.0622,1.12505,5.25575,11.0556,7.330232
82,9.27282,10.1011,1.08654,4.84849,10.981,7.25799
83,9.34517,10.1107,1.0953,5.32299,11.0459,7.384012
84,9.29667,10.0252,0.90551,5.26767,11.0504,7.30909
85,9.42787,9.94373,0.952276,4.89323,11.0316,7.2497412
86,9.57323,9.97073,0.984303,5.18575,11.007,7.3442026
87,9.57862,10.0738,1.17301,5.14015,10.9462,7.382356
88,9.64313,10.0742,1.22798,5.3841,10.8705,7.439982
89,9.57861,9.98002,0.966587,5.26037,10.7907,7.3152574
90,9.59466,10.0605,0.816515,5.09047,10.6581,7.244049
91,9.76657,9.97174,0.816825,4.88554,10.6342,7.214975
92,9.70835,9.9112,0.582627,4.70772,10.4876,7.0794994
93,9.58223,10.0862,0.50886,4.28366,10.5318,6.99855
94,9.44808,10.1353,0.485618,4.63652,10.4189,7.0248836
95,9.44472,10.1004,0.397988,4.51414,10.365,6.9644496
96,9.25545,10.1602,0.416976,4.8904,10.3072,7.0060452
97,9.15129,10.2335,0.729625,4.24009,10.2373,6.918361
98,9.15866,10.2666,0.66397,5.38322,10.2043,7.13535
99,9.14319,10.2244,0.683959,5.41049,10.2128,7.1349678
100,9.35868,10.0157,0.620862,5.45239,10.1595,7.1214264
