iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,8.65744,1.81199,31.2115,28.0042,31.2115,28.0042
2,8.00448,1.76284,47.3333,44.1452,78.5448,72.1494
3,8.04488,1.71095,51.2866,47.9808,129.831,120.13
4,7.82752,1.73509,54.1728,50.8732,184.004,171.003
5,8.04961,1.6557,56.7121,53.456,240.716,224.459
6,7.96605,1.60626,59.241,56.163,299.957,280.622
7,3.76,1.54658,58.5249,55.3896,358.482,336.012
8,5.95097,1.26035,53.7317,50.5527,412.214,386.565
9,6.04459,1.25086,55.5312,52.1656,467.745,438.73
10,5.99743,1.26004,59.3787,55.974,527.124,494.704
11,6.10316,1.24517,63.1102,59.7576,590.234,554.462
12,6.12382,1.4148,67.7601,64.524,657.994,618.986
13,6.06593,1.38026,70.7414,67.5848,728.735,686.571
14,5.93108,1.3468,70.8972,67.8294,799.633,754.4
15,1.82885,1.64256,71.4708,68.3926,871.103,822.793
16,1.83205,1.63209,71.078,68.0373,942.181,890.83
17,1.68153,1.65212,67.9418,64.8298,1010.12,955.66
18,1.59056,1.66573,68.4654,65.3661,1078.59,1021.03
19,1.56992,1.67696,68.4198,65.6429,1147.01,1086.67
20,1.43953,1.68935,66.8502,64.1488,1213.86,1150.82
21,2.45833,1.19425,66.3654,63.7423,1280.22,1214.56
22,1.73344,1.61943,70.0414,67.5146,1350.27,1282.07
23,1.77371,1.614,72.6905,70.1663,1422.96,1352.24
24,1.68258,1.57956,71.1582,68.5565,1494.11,1420.8
25,1.69485,1.6054,68.8349,66.1193,1562.95,1486.92
26,1.71385,1.65777,72.1241,69.3029,1635.07,1556.22
27,2.85328,1.75146,65.4274,62.6145,1700.5,1618.83
28,2.90427,1.67019,71.5414,68.8072,1772.04,1687.64
29,2.72234,1.68659,75.0429,72.2099,1847.08,1759.85
30,2.68042,1.00124,72.5429,69.6432,1919.63,1829.49
31,2.31007,1.18214,64.9936,62.2565,1984.62,1891.75
32,2.18719,1.19411,64.3269,61.6982,2048.95,1953.45
33,2.39859,1.36511,64.3666,61.7778,2113.31,2015.23
34,2.30055,1.16098,63.5389,60.9783,2176.85,2076.21
35,2.32804,1.11254,63.4759,60.9686,2240.33,2137.17
36,2.33804,1.03317,66.5489,64.085,2306.88,2201.26
37,2.38554,1.02476,67.5133,65.0395,2374.39,2266.3
38,2.55713,1.06332,67.0316,64.5647,2441.42,2330.86
39,2.68239,1.06402,62.73,60.2885,2504.15,2391.15
40,2.71662,1.10715,67.1707,64.7338,2571.32,2455.89
41,2.67248,1.09142,68.3939,65.9735,2639.72,2521.86
42,0.983309,1.00008,68.7888,66.3703,2708.51,2588.23
43,0.922419,1.00013,71.2375,68.9514,2779.74,2657.18
44,1.00424,1.00151,70.1681,67.9865,2849.91,2725.17
45,1.0825,1.00164,70.555,68.2987,2920.47,2793.47
46,1.14774,1.0002,70.6028,68.2373,2991.07,2861.7
47,1.20103,1.00923,70.7656,68.2307,3061.84,2929.93
48,1.07401,1.00629,71.3053,68.7476,3133.14,2998.68
49,0.895132,1.01589,71.0825,68.4488,3204.22,3067.13
50,0.917176,1.03151,72.3936,69.3126,3276.62,3136.44
51,0.79027,1.03303,67.7004,64.7111,3344.32,3201.15
52,0.734836,1.00101,49.1143,46.0681,3393.43,3247.22
53,0.770206,1.00058,51.0799,48.2155,3444.51,3295.44
54,0.814726,1.00061,50.0811,47.2156,3494.59,3342.65
55,1.00572,1.0062,60.6286,57.9315,3555.22,3400.58
56,0.943761,1.09044,54.213,51.6062,3609.43,3452.19
57,0.833845,1.0848,58.2263,55.5412,3667.66,3507.73
58,2.85764,1.0411,56.7307,54.1812,3724.39,3561.91
59,2.93523,1.05173,57.7267,55.2696,3782.12,3617.18
60,1.22888,1.10098,53.2952,50.8308,3835.41,3668.01
61,1.06947,1.02556,58.5537,55.9889,3893.97,3724
62,0.995326,1.00041,59.5579,56.967,3953.53,3780.97
63,1.18612,1.02944,61.7489,59.0793,4015.27,3840.05
64,1.17059,1.01589,54.4971,51.8292,4069.77,3891.88
65,1.33885,1.00451,58.4375,55.7635,4128.21,3947.64
66,1.22708,1.0061,60.8026,58.1049,4189.01,4005.75
67,1.25949,1.04597,46.8829,44.1944,4235.89,4049.94
68,0.552328,1.65887,37.6932,35.014,4273.59,4084.95
69,0.526316,1.58391,41.8961,39.1447,4315.48,4124.1
70,8.91927,1.70052,43.5284,40.8096,4359.01,4164.91
71,9.5071,1.43999,46.7055,43.9632,4405.72,4208.87
72,9.50428,1.39013,46.1203,43.3448,4451.84,4252.22
73,9.56494,1.42203,43.441,40.6292,4495.28,4292.85
74,9.64907,1.34006,33.7701,30.9086,4529.05,4323.75
75,9.63224,1.3296,33.2877,30.2596,4562.34,4354.01
76,9.65885,1.41477,27.1687,24.2922,4589.51,4378.31
77,9.72952,1.29403,38.5217,35.6852,4628.03,4413.99
78,9.60135,1.28848,49.6786,46.771,4677.71,4460.76
79,9.66603,1.34073,56.8371,53.7866,4734.54,4514.55
80,9.56253,1.31051,47.9487,44.689,4782.49,4559.24
81,9.54686,1.40025,58.7125,55.3853,4841.2,4614.62
82,9.62514,1.35051,55.5717,52.2078,4896.78,4666.83
83,9.41299,1.31618,62.6622,59.4585,4959.44,4726.29
84,9.52095,1.25882,57.7642,54.5958,5017.2,4780.89
85,9.50715,1.34438,52.692,49.7271,5069.89,4830.61
86,9.29993,1.32519,48.3696,45.6718,5118.26,4876.28
87,9.3963,1.38962,51.3331,48.9053,5169.6,4925.19
88,9.49494,1.47644,51.4883,48.7676,5221.09,4973.96
89,9.52295,1.48423,55.9534,53.2604,5277.04,5027.22
90,9.55994,1.54101,62.6361,59.9515,5339.67,5087.17
91,9.58226,1.66005,60.5229,57.8024,5400.2,5144.97
92,9.55454,1.64312,67.4468,64.878,5467.64,5209.85
93,9.63978,1.52168,62.0293,59.5567,5529.67,5269.41
94,9.5481,1.61474,64.0412,61.3415,5593.71,5330.75
95,9.57453,1.60847,70.9898,68.0377,5664.7,5398.79
96,9.64113,1.56686,73.43,70.2936,5738.13,5469.08
97,9.54954,1.54133,64.2862,61.0998,5802.42,5530.18
98,9.57637,1.43664,73.7803,70.5993,5876.2,5600.78
99,9.51014,1.41622,68.6117,65.5256,5944.81,5666.3
100,9.45485,1.48897,66.9116,63.9185,6011.72,5730.22
