iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,4.04923,2.99593,5.77535,5.43959,5.77535,5.43959
2,4.15971,2.95377,8.33271,8.00449,14.1081,13.4441
3,4.22425,2.80835,8.3129,7.99014,22.421,21.4342
4,12.8052,2.01553,8.96123,8.64265,31.3822,30.0769
5,12.5365,1.67047,9.82488,9.49389,41.2071,39.5708
6,12.3965,1.57836,9.06317,8.71097,50.2702,48.2817
7,12.3464,1.73669,9.31099,8.95427,59.5812,57.236
8,12.2559,1.77209,9.18716,8.80583,68.7684,66.0418
9,12.3058,1.76625,9.47178,9.04418,78.2402,75.086
10,12.4307,1.79856,9.70212,9.2587,87.9423,84.3447
11,12.3839,1.90486,9.65872,9.2226,97.601,93.5673
12,13.3208,1.46902,10.3411,9.88609,107.942,103.453
13,13.4908,1.63812,10.0595,9.62179,118.002,113.075
14,14.0068,1.67569,9.69006,9.22565,127.692,122.301
15,13.9704,1.69256,9.26902,8.81558,136.961,131.116
16,13.9802,1.84408,9.56288,9.11393,146.524,140.23
17,14.0566,1.74397,9.85079,9.39731,156.374,149.628
18,13.9778,1.87832,9.64159,9.17805,166.016,158.806
19,14.029,1.91848,9.00157,8.48943,175.018,167.295
20,13.8334,1.819,10.2401,9.76266,185.258,177.058
21,13.7444,1.76251,10.4193,9.90362,195.677,186.961
22,13.7293,1.75908,9.6937,9.2221,205.371,196.184
23,10.4597,2.57668,9.81912,9.31923,215.19,205.503
24,10.58,2.62489,9.13222,8.64349,224.322,214.146
25,10.4267,2.62904,8.88095,8.42003,233.203,222.566
26,10.3616,2.58671,8.89305,8.39994,242.096,230.966
27,10.2802,2.53533,8.72819,8.27508,250.824,239.241
28,6.08417,1.7995,8.41374,8.00611,259.238,247.247
29,6.10318,1.55111,7.51472,7.12182,266.753,254.369
30,6.16212,1.41023,6.29788,5.90678,273.051,260.276
31,6.32871,1.54452,5.72533,5.30494,278.776,265.581
32,6.34034,1.85298,6.34763,5.94077,285.124,271.522
33,6.3144,1.78095,6.2134,5.79056,291.337,277.312
34,8.84054,2.29344,5.94219,5.49975,297.279,282.812
35,8.908,2.26143,7.48475,7.04929,304.764,289.861
36,8.82138,2.42651,7.71501,7.25218,312.479,297.113
37,8.87053,2.33126,6.91119,6.45266,319.39,303.566
38,9.03978,2.35744,6.72819,6.27733,326.118,309.843
39,9.08411,2.32933,5.80399,5.36195,331.922,315.205
40,8.97608,2.25623,5.80555,5.37776,337.728,320.583
41,8.95144,2.35079,7.00799,6.58699,344.736,327.17
42,9.19844,2.33354,6.21901,5.7912,350.955,332.961
43,9.19029,2.35161,6.13899,5.73959,357.094,338.701
44,9.10707,2.30784,7.00731,6.59132,364.101,345.292
45,9.12379,2.35038,6.27957,5.8895,370.381,351.182
46,9.04679,2.34999,6.2017,5.80563,376.582,356.987
47,9.03231,2.43396,6.2586,5.87361,382.841,362.861
48,9.10784,2.39918,5.9624,5.5831,388.803,368.444
