iter,dist1,dist2,dist3,dist4,dist5,avg
1,12.0837,4.04923,6.55231,8.0568,1.79919,6.508246
2,12.3538,4.15971,8.25764,8.16245,1.65306,6.917332
3,12.24,4.22425,8.1308,8.30405,1.60253,6.900326
4,12.4652,12.8052,8.10803,11.7114,1.5492,9.327806
5,13.3006,12.5365,8.08852,12.0013,1.48358,9.4821
6,13.3788,12.3965,8.21693,11.7452,1.4583,9.439146
7,13.4096,12.3464,8.43762,11.7425,1.46873,9.48097
8,13.4925,12.2559,6.41532,11.8432,1.45194,9.091772
9,13.5451,12.3058,6.45468,11.8962,1.30643,9.101642
10,13.5623,12.4307,6.61512,11.8395,2.65651,9.420826
11,13.6534,12.3839,6.89073,11.9988,2.71345,9.528056
12,14.9677,13.3208,6.86236,12.008,2.74109,9.97999
13,14.7555,13.4908,6.95168,11.0038,13.4278,11.925916
14,14.809,14.0068,8.52083,10.9535,13.5478,12.367586
15,14.8582,13.9704,8.70132,10.9761,13.3823,12.377664
16,14.8476,13.9802,8.5925,10.8935,2.23561,10.109882
17,14.8183,14.0566,8.53499,7.82788,1.72211,9.391976
18,12.1861,13.9778,8.58208,7.64553,1.61545,8.801392
19,12.1481,14.029,8.4119,7.54101,1.70893,8.767788
20,12.1249,13.8334,8.3018,8.1774,1.6534,8.81818
21,12.1499,13.7444,6.24186,8.15123,1.67069,8.391616
22,15.6234,13.7293,6.3166,8.07408,10.4853,10.845736
23,15.4981,10.4597,6.42833,7.97783,10.4994,10.172672
24,15.4187,10.58,6.81269,7.92924,10.553,10.258726
25,8.05406,10.4267,6.87064,7.97454,6.14398,7.893984
26,8.10381,10.3616,6.72402,7.87623,6.24374,7.86188
27,8.11924,10.2802,6.8742,12.6162,6.40797,8.859562
28,8.19347,6.08417,15.6826,12.6841,8.98736,10.32634
29,8.0661,6.10318,15.6892,12.8136,8.89979,10.314374
30,8.25375,6.16212,15.6062,13.1086,9.09611,10.445356
31,8.19637,6.32871,15.7404,13.2053,9.13647,10.52145
32,8.06755,6.34034,15.9143,13.1351,9.08599,10.508656
33,7.9681,6.3144,15.7564,13.1789,9.29478,10.502516
34,8.01537,8.84054,15.8945,13.3264,9.1796,11.051282
35,8.01774,8.908,15.9952,13.2748,9.29087,11.097322
36,8.02409,8.82138,16.0507,13.2175,9.24937,11.072608
37,8.02487,8.87053,15.9834,13.1527,9.4103,11.08836
38,8.06109,9.03978,15.925,13.2582,9.38889,11.134592
39,8.09917,9.08411,15.9273,13.1114,9.43164,11.130724
40,8.07938,8.97608,16.072,13.1266,12.3416,11.719132
41,8.08185,8.95144,16.03,13.0147,12.2,11.655598
42,8.12776,9.19844,16.0964,13.071,12.0031,11.69934
43,8.32238,9.19029,16.0359,13.3179,11.9757,11.768434
44,8.1732,9.10707,15.8983,13.4573,11.8811,11.703394
45,8.16305,9.12379,15.7763,13.5103,11.9087,11.696428
