trial,map,res,tot,rt,per
1,Elevator,65x45,2139,2037,0.9523
2,Elevator,65x45,2191,2085,0.9516
3,Elevator,65x45,1867,1766,0.9459
4,Elevator,65x45,2250,2146,0.9538
5,Elevator,65x45,2084,1979,0.9496
6,Elevator,65x45,2229,2124,0.9529
7,Elevator,65x45,1944,1840,0.9465
8,Elevator,30x20,481,457,0.9501
9,Elevator,30x20,430,407,0.9465
10,Elevator,30x20,528,504,0.9545
11,Elevator,30x20,407,384,0.9435
12,Elevator,30x20,464,443,0.9547
13,Elevator,100x80,6166,5890,0.9552
14,Elevator,100x80,6012,5730,0.9531
15,Office,65x45,787,745,0.9466
16,Office,65x45,764,722,0.9450
17,Office,65x45,803,762,0.9489
18,Office,65x45,786,737,0.9377
19,Office,65x45,827,786,0.9504
