trial,map,res,tot,rt,per
1,Elevator,65x45,2139,2037,1
2,Elevator,65x45,2191,2085,1
3,Elevator,65x45,1867,1766,1
4,Elevator,65x45,2250,2146,1
5,Elevator,65x45,2084,1979,1
6,Elevator,65x45,2229,2124,1
7,Elevator,65x45,1944,1840,1
8,Elevator,30x20,481,457,1
9,Elevator,30x20,430,407,1
10,Elevator,30x20,528,504,1
11,Elevator,30x20,407,384,1
12,Elevator,30x20,464,443,1
13,Elevator,100x80,6166,5890,1
14,Elevator,100x80,6012,5730,1
15,Office,65x45,787,745,1
16,Office,65x45,764,722,1
17,Office,65x45,803,762,1
18,Office,65x45,786,737,1
19,Office,65x45,827,786,1
